right;catch_key;catch_stim;modality_task;catch;shape;catch_score;pitch;any_auditory;rt;inducer;score;any_visual;hue;catch_rt;fixation_duration;key;phase;modality_inducer;lightness;task;timbre;flip;complexity;superblock;left;CMC_code;input;language;section;gender;age;demo_and_practice;id;simulation
red:light;;;visual;0;neutral;;;False;51.688;lightness;;True;blue;;45;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;23;yes;02;no
dark:low;;;visual;0;neutral;;high;True;8.633;pitch;;True;neutral;;45;4;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;23;yes;02;no
dark:square;;;visual;0;neutral;;neutral;True;2.992;timbre;;True;neutral;;30;6;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:blue;;;visual;0;pointy;;;False;16.633;hue;;True;red;;45;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:complex;;;visual;0;pointy;;;False;20.139;complexity;;True;neutral;;45;1;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;23;yes;02;no
sine:low;;;auditory;0;neutral;;low;True;6.866;pitch;;1;neutral;;45;2;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:low;keyboard;en;rate_CMC;female;23;yes;02;no
red:square;;;visual;0;neutral;;neutral;True;8.138;timbre;;True;blue;;45;4;rate;auditory;neutral;hue;square;0;neutral;;red:sine;blue:square;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:low;;;visual;0;pointy;;low;True;8.721;pitch;;True;neutral;;30;4;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:low;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:square;;;visual;0;smooth;;neutral;True;14.577;timbre;;True;neutral;;30;2;rate;auditory;neutral;shape;sine;0;neutral;;smooth:sine;smooth:sine;keyboard;en;rate_CMC;female;23;yes;02;no
simple:blue;;;visual;0;neutral;;;False;8.548;hue;;True;red;;30;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;23;yes;02;no
simple:low;;;visual;0;neutral;;high;True;2.637;pitch;;True;neutral;;45;6;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;keyboard;en;rate_CMC;female;23;yes;02;no
red:low;;;visual;0;neutral;;high;True;6.686;pitch;;True;blue;;30;2;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;23;yes;02;no
simple:square;;;visual;0;neutral;;neutral;True;18.607;timbre;;True;neutral;;30;2;rate;auditory;neutral;complexity;square;0;simple;;simple:sine;simple:square;keyboard;en;rate_CMC;female;23;yes;02;no
simple:light;;;visual;0;neutral;;;False;11.247;lightness;;True;neutral;;30;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:light;;;visual;0;pointy;;;False;7.863;lightness;;True;neutral;;45;7;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;23;yes;02;no
red:light;;;visual;0;neutral;;;False;9.596;lightness;;True;blue;;30;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;23;yes;02;no
dark:low;;;visual;0;neutral;;high;True;2.588;pitch;;True;neutral;;30;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;23;yes;02;no
dark:square;;;visual;0;neutral;;neutral;True;3.316;timbre;;True;neutral;;30;2;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:blue;;;visual;0;pointy;;;False;8.563;hue;;True;red;;30;6;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:complex;;;visual;0;pointy;;;False;7.35;complexity;;True;neutral;;30;2;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;23;yes;02;no
sine:low;;;auditory;0;neutral;;low;True;4.681;pitch;;1;neutral;;30;1;rate;auditory;neutral;timbre;square;0;neutral;;sine:high;square:low;keyboard;en;rate_CMC;female;23;yes;02;no
red:square;;;visual;0;neutral;;neutral;True;3.464;timbre;;True;red;;45;2;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;red:sine;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:low;;;visual;0;pointy;;high;True;7.92;pitch;;True;neutral;;30;2;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:square;;;visual;0;pointy;;neutral;True;3.899;timbre;;True;neutral;;45;2;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;keyboard;en;rate_CMC;female;23;yes;02;no
simple:blue;;;visual;0;neutral;;;False;7.592;hue;;True;red;;30;6;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;23;yes;02;no
simple:low;;;visual;0;neutral;;high;True;2.022;pitch;;True;neutral;;45;7;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;keyboard;en;rate_CMC;female;23;yes;02;no
red:low;;;visual;0;neutral;;high;True;4.69;pitch;;True;blue;;30;4;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;23;yes;02;no
simple:square;;;visual;0;neutral;;neutral;True;7.863;timbre;;True;neutral;;30;3;rate;auditory;neutral;complexity;sine;0;complex;;simple:sine;complex:sine;keyboard;en;rate_CMC;female;23;yes;02;no
simple:light;;;visual;0;neutral;;;False;12.61;lightness;;True;neutral;;45;4;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:light;;;visual;0;pointy;;;False;11.546;lightness;;True;neutral;;30;4;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;23;yes;02;no
red:light;;;visual;0;neutral;;;False;14.2;lightness;;True;blue;;45;6;rate;visual;dark;hue;;0;neutral;;red:dark;blue:dark;keyboard;en;rate_CMC;female;23;yes;02;no
dark:low;;;visual;0;neutral;;high;True;2.066;pitch;;True;neutral;;30;6;rate;auditory;light;lightness;neutral;0;neutral;;dark:high;light:high;keyboard;en;rate_CMC;female;23;yes;02;no
dark:square;;;visual;0;neutral;;neutral;True;3.086;timbre;;True;neutral;;45;2;rate;auditory;light;lightness;sine;0;neutral;;dark:sine;light:sine;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:blue;;;visual;0;pointy;;;False;11.134;hue;;True;red;;45;5;rate;visual;neutral;shape;;0;neutral;;smooth:red;pointy:red;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:complex;;;visual;0;pointy;;;False;50.427;complexity;;True;neutral;;30;1;rate;visual;neutral;shape;;0;simple;;smooth:simple;pointy:simple;keyboard;en;rate_CMC;female;23;yes;02;no
sine:low;;;auditory;0;neutral;;low;True;11.034;pitch;;1;neutral;;45;2;rate;auditory;neutral;timbre;sine;0;neutral;;sine:high;sine:low;keyboard;en;rate_CMC;female;23;yes;02;no
red:square;;;visual;0;neutral;;neutral;True;2.803;timbre;;True;blue;;45;6;rate;auditory;neutral;hue;sine;0;neutral;;red:sine;blue:sine;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:low;;;visual;0;pointy;;high;True;3.515;pitch;;True;neutral;;45;6;rate;auditory;neutral;shape;neutral;0;neutral;;smooth:high;pointy:high;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:square;;;visual;0;pointy;;neutral;True;6.737;timbre;;True;neutral;;30;2;rate;auditory;neutral;shape;square;0;neutral;;smooth:sine;pointy:square;keyboard;en;rate_CMC;female;23;yes;02;no
simple:blue;;;visual;0;neutral;;;False;14.423;hue;;True;red;;30;5;rate;visual;neutral;complexity;;0;complex;;simple:red;complex:red;keyboard;en;rate_CMC;female;23;yes;02;no
simple:low;;;visual;0;neutral;;high;True;6.446;pitch;;True;neutral;;45;4;rate;auditory;neutral;complexity;neutral;0;complex;;simple:high;complex:high;keyboard;en;rate_CMC;female;23;yes;02;no
red:low;;;visual;0;neutral;;high;True;3.62;pitch;;True;blue;;30;5;rate;auditory;neutral;hue;neutral;0;neutral;;red:high;blue:high;keyboard;en;rate_CMC;female;23;yes;02;no
simple:square;;;visual;0;neutral;;neutral;True;7.862;timbre;;True;neutral;;30;4;rate;auditory;neutral;complexity;square;0;complex;;simple:sine;complex:square;keyboard;en;rate_CMC;female;23;yes;02;no
simple:light;;;visual;0;neutral;;;False;22.097;lightness;;True;neutral;;45;2;rate;visual;dark;complexity;;0;complex;;simple:dark;complex:dark;keyboard;en;rate_CMC;female;23;yes;02;no
smooth:light;;;visual;0;pointy;;;False;7.625;lightness;;True;neutral;;30;6;rate;visual;dark;shape;;0;neutral;;smooth:dark;pointy:dark;keyboard;en;rate_CMC;female;23;yes;02;no
